date,Total_PnL,Total_Volume_USD,Avg_Execution_Price,Unique_Traders,classification,value
2023-01-05,0.0,477.0,1898.1333333333332,1,Fear,29.0
2023-05-12,0.0,50005.83,11038.3,1,Neutral,49.0
2023-11-14,2016.006985,2818931.66,5579.445311716868,1,Greed,69.0
2024-01-01,-129.53146,264239.52999999997,10373.330666666667,1,Greed,65.0
2024-01-02,0.0,2008.18,0.07612616666666668,1,Greed,71.0
2024-01-03,8244.241409,472974.7,2.725657408759124,1,Greed,70.0
2024-01-04,2507.963406,339470.47,1332.2278167402596,2,Greed,68.0
2024-01-05,0.0,87025.45,2916.8142857142857,1,Greed,72.0
2024-01-06,91.510419,12834.62,1.1308718,1,Greed,70.0
2024-01-07,5065.839308,362670.14999999997,1312.7375605675,2,Greed,71.0
2024-01-08,167.080017,227774.53,18740.473002526316,4,Greed,71.0
2024-01-09,137.433093,12359.68,44.57331249999999,1,Extreme Greed,76.0
2024-01-10,0.0,139954.32,62044.5,1,Greed,73.0
2024-01-11,1040.475736,260981.03,27379.532136956524,2,Extreme Greed,76.0
2024-01-12,40886.364494,814711.82,6389.235122030456,9,Greed,71.0
2024-02-01,783.979116,121348.74,10199.892598764705,1,Greed,63.0
2024-02-02,456.423473,474278.43,15601.771341142858,1,Greed,63.0
2024-02-03,230.90060000000005,63197.56,0.8005309032258064,2,Greed,60.0
2024-02-04,883.760812,239664.50999999998,3060.7089024390243,2,Greed,60.0
2024-02-06,192.906947,29464.51,1.0599227956989248,1,Greed,64.0
2024-02-07,2421.253116,33347.47,3.4119444444444444,1,Greed,62.0
2024-02-08,782.3681909999999,396320.37,14406.321016984128,3,Greed,66.0
2024-02-09,0.0,30000.42,2426.1,1,Greed,72.0
2024-02-10,0.0,99954.34,60911.0,1,Greed,74.0
2024-02-11,0.0,40000.0,68880.0,1,Greed,71.0
2024-02-12,18489.604313,585243.56,6137.360651434223,8,Greed,70.0
2024-03-01,866.015507,394499.36,738.8837898507463,1,Extreme Greed,80.0
2024-03-02,223.30918699999998,603820.0,29939.640223214286,1,Extreme Greed,80.0
2024-03-03,8361.086245,390745.68,3.0333498607594938,1,Extreme Greed,83.0
2024-03-04,126.7884,16887.57,8.3283,2,Extreme Greed,82.0
2024-03-05,5306.017045,282682.64999999997,1960.4601549999998,3,Extreme Greed,90.0
2024-03-06,562.808208,21466.86,1.3030562857142858,1,Extreme Greed,75.0
2024-03-07,1118.387284,179600.66,2039.0916666666667,2,Extreme Greed,82.0
2024-03-08,464.1897,290532.86,2718.8256902127027,5,Extreme Greed,81.0
2024-03-09,54938.652964,20685414.95,9586.567995734304,5,Extreme Greed,84.0
2024-03-10,100.375782,132935.69,26799.238066666665,2,Extreme Greed,79.0
2024-03-11,0.0,129055.66,45208.04899166667,2,Extreme Greed,82.0
2024-03-12,23576.539285,1084666.53,2354.399729529412,8,Extreme Greed,81.0
2024-04-01,-67.60364,99792.54000000001,2212.62,1,Extreme Greed,79.0
2024-04-02,47.62389499999999,203187.53,12108.636457142857,1,Extreme Greed,79.0
2024-04-03,27799.775742,1577996.87,419.88134141,2,Greed,71.0
2024-04-04,0.0,95987.73,3401.434375,1,Greed,70.0
2024-04-05,0.0,58998.75,2089.1695403333333,2,Extreme Greed,79.0
2024-04-06,52.211438,24243.41,13394.864554716982,1,Extreme Greed,75.0
2024-04-07,0.0,430568.01,2795.886,2,Extreme Greed,78.0
2024-04-08,-122672.000883,1207744.07,11138.705859755904,5,Extreme Greed,76.0
2024-04-09,1065.785132,131480.97,5402.028013264706,2,Extreme Greed,80.0
2024-04-10,0.0,0.34,0.0011,1,Extreme Greed,78.0
2024-04-11,2799.410474,451811.97,49681.014294444445,2,Extreme Greed,76.0
2024-04-12,292891.815021,769287.65,3922.991142316614,7,Extreme Greed,79.0
2024-05-01,164.141565,1703942.66,30495.46818181818,1,Neutral,54.0
2024-05-02,-33.45419400000003,770198.26,15958.2223625,1,Fear,43.0
2024-05-03,19791.026041,841810.32,0.3816785944444444,1,Neutral,48.0
2024-05-04,10706.484306,503791.8,330.28005890000003,3,Greed,67.0
2024-05-05,0.916,24068.350000000002,2099.545833333333,2,Greed,69.0
2024-05-06,56.055506,25350.77,2682.9926944444446,1,Greed,71.0
2024-05-07,0.0,272289.89,1837.889625,2,Greed,68.0
2024-05-08,-13013.665169,420495.4,14847.670722625,4,Greed,64.0
2024-05-09,0.0,0.84,7.79e-05,1,Greed,55.0
2024-05-10,5767.161892,605605.74,60568.594601856756,2,Greed,66.0
2024-05-11,678.4759280000001,200627.23,67511.4,1,Neutral,53.0
2024-05-12,71574.11848800001,1256750.79,4881.7428253070175,8,Greed,56.0
2024-06-01,135.58166400000002,298521.4,6586.107318181818,1,Greed,72.0
2024-06-02,-215.615907,8047153.41,22118.307961134193,1,Greed,73.0
2024-06-03,6814.825139,327218.02,1.7171503902439025,1,Greed,73.0
2024-06-04,236.33513399999998,68223.67,3328.08125,1,Greed,73.0
2024-06-05,968.59038,206016.43,3109.866666666667,1,Extreme Greed,75.0
2024-06-06,274.173187,137557.76,30.647596965811967,1,Extreme Greed,78.0
2024-06-07,108.87217799999999,2490.17,1.10232597125,1,Extreme Greed,77.0
2024-06-08,267.318048,61478.38,1056.048024274299,2,Greed,72.0
2024-06-09,-1104.856765,39047.1,215.73034285714286,2,Extreme Greed,75.0
2024-06-10,130.487079,300130.56,62166.40909090909,1,Greed,72.0
2024-06-11,2817.83723,123906.9,58370.23423933333,2,Greed,74.0
2024-06-12,-92624.643895,3471019.22,15604.850347196028,10,Greed,72.0
2024-07-01,-835.681235,1048850.06,7513.911021649485,1,Neutral,53.0
2024-07-02,241.24212,6758.73,3.98582,1,Neutral,51.0
2024-07-03,250037.590648,13441556.27,2140.8318255639488,8,Neutral,50.0
2024-07-04,0.0,49988.14,3398.0043478260873,1,Fear,44.0
2024-07-05,883.537693,108717.58,1715.215231,3,Fear,29.0
2024-07-06,8902.467416,1098588.76,1232.3513694545454,3,Fear,26.0
2024-07-07,61.428942,498.75,3.9900000000000007,1,Fear,29.0
2024-07-08,188.789255,2492.77,1.594288883939394,3,Fear,28.0
2024-07-10,0.0,219984.65,63684.42857142857,1,Fear,28.0
2024-07-11,4493.353136,111335.3,1338.6989985840708,3,Fear,29.0
2024-07-12,85906.279067,451733.42,1359.7200135328949,6,Fear,25.0
2024-08-01,-269.874439,1522452.43,15078.63093734375,1,Neutral,52.0
2024-08-02,770.756024,26051.12,10.0228845,1,Greed,57.0
2024-08-03,4271.886236,183583.18,2.9131835970149256,1,Fear,37.0
2024-08-04,1218.4267,211940.64,3295.5374166666666,2,Fear,34.0
2024-08-05,1.56576,65973.57,2312.7117384615385,2,Fear,26.0
2024-08-06,129.13883900000002,97351.88,10513.408993103449,2,Extreme Fear,17.0
2024-08-07,0.0,497.64,3.19,1,Fear,29.0
2024-08-08,-40.712216999999995,16299.35,520.3884688888888,2,Extreme Fear,20.0
2024-08-09,0.0,0.11,0.11756,1,Neutral,48.0
2024-08-10,5396.546638,434584.13,58825.33341509444,2,Fear,40.0
2024-08-11,-64.41354100000007,270700.44,46749.91446666667,2,Fear,39.0
2024-08-12,15965.933436,932939.72,1787.932218347619,6,Fear,25.0
2024-09-01,-826.349863,870051.97,14127.109546714286,1,Fear,26.0
2024-09-03,9949.501624,658178.75,15.9975568974359,1,Fear,26.0
2024-09-04,0.0,57063.840000000004,3501.3000000000006,1,Fear,27.0
2024-09-05,1147.595856,221966.12,2667.6832657142854,2,Fear,29.0
2024-09-06,0.0,22410.22,1091.865705882353,2,Extreme Fear,22.0
2024-09-07,648.984412,2736.45,4.546446666666666,1,Extreme Fear,23.0
2024-09-08,18082.071276,503204.86,4675.996384345139,5,Fear,29.0
2024-09-09,0.0,4014.4300000000003,0.0115,1,Fear,26.0
2024-09-10,396.06272,220399.93,61800.92857142857,1,Fear,33.0
2024-09-11,102.90894,193384.41,8015.27303244186,2,Fear,37.0
2024-09-12,6310.967676,983949.68,3534.2818935269015,10,Fear,31.0
2024-10-01,-1517.091342,2057479.48,12914.76879230052,1,Neutral,50.0
2024-10-03,2482.9272,219973.85,34.630716666666665,1,Fear,37.0
2024-10-04,5207.443414,351735.97,3433.4707317073166,1,Fear,41.0
2024-10-05,2101.741695,156882.0,2946.254545454545,1,Neutral,49.0
2024-10-06,31.266804999999998,46587.93,280.7776811320755,2,Neutral,50.0
2024-10-07,11977.734907,687900.21,2410.4582857142855,2,Neutral,50.0
2024-10-08,0.0,11339.29,1.8675185526136362,2,Neutral,49.0
2024-10-09,-219.729659,2547.28,1557.6705000000002,2,Neutral,49.0
2024-10-10,0.0,300024.33999999997,59323.25,1,Fear,39.0
2024-10-11,991.114334,413636.7,22619.335545589594,3,Fear,32.0
2024-10-12,39325.770231,3150424.08,2885.2128903966163,11,Neutral,49.0
2024-10-27,1724755.593952,75381740.84,4896.240570171118,28,Greed,74.0
2024-11-01,-164.08950099999998,305314.1,12141.70542857143,2,Extreme Greed,75.0
2024-11-02,983.443176,212311.82,17890.449081970586,1,Greed,72.0
2024-11-03,3588.179495,176519.44999999998,2.647672619047619,1,Greed,74.0
2024-11-04,389.743164,76400.96,3521.2125,1,Greed,70.0
2024-11-05,251.604742,63248.95,2922.511111111111,1,Greed,70.0
2024-11-06,4320.631811,373279.92,8924.726208861788,3,Greed,70.0
2024-11-07,1876.812082,169887.02,3151.1421052631576,1,Extreme Greed,77.0
2024-11-08,847.7766200000001,44230.21,892.9076233333334,2,Extreme Greed,75.0
2024-11-09,0.0,0.54,1.5e-05,1,Extreme Greed,75.0
2024-11-10,8885.327477,488904.19,59195.38462157692,2,Extreme Greed,78.0
2024-11-11,6749.630996,1570572.42,6882.198738908847,4,Extreme Greed,76.0
2024-11-12,319051.554217,2194098.33,4356.6742505249795,12,Extreme Greed,80.0
2024-12-01,-1925.519024,200082.27,39774.47142857143,1,Extreme Greed,81.0
2024-12-02,913.8817869999998,227247.69999999998,28717.7418125,1,Extreme Greed,80.0
2024-12-03,3039.166,103040.85,9.235375,1,Extreme Greed,76.0
2024-12-04,-592.6458390000001,442088.59,555.2924815968992,3,Extreme Greed,78.0
2024-12-05,0.0,55179.56,1272.34931,2,Extreme Greed,84.0
2024-12-06,-21886.531493,193407.96,1364.4425952755905,2,Greed,72.0
2024-12-07,1412.314654,89582.97,1621.380905263158,2,Extreme Greed,75.0
2024-12-08,858.6705000000001,54167.32,855.5521279583332,3,Extreme Greed,79.0
2024-12-10,541.55471,159713.4,62726.0,1,Extreme Greed,78.0
2024-12-11,3494.399394,1226354.52,33638.82797450292,4,Greed,74.0
2024-12-12,599151.795008,4557189.87,2265.6843708274846,14,Extreme Greed,83.0
2025-01-01,-9528.065345,282582.1,8822.579264114584,6,Greed,66.0
2025-01-02,32300.205017,1363746.44,4211.306208217666,12,Greed,70.0
2025-01-03,10596.108968,263824.13,3119.315583793103,5,Greed,74.0
2025-01-04,-2202.6622420000003,704445.1900000001,11425.36599246875,9,Greed,73.0
2025-01-05,54536.829297000004,10720240.52,12672.104182341463,11,Greed,72.0
2025-02-01,8716.519087,774674.84,10094.891613861495,9,Greed,68.0
2025-02-02,162854.759623,5661092.29,5409.088864621683,13,Greed,60.0
2025-02-03,66914.320708,6460848.74,9371.077831221804,10,Fear,44.0
2025-02-04,202212.740938,3867930.6,7414.856134767658,11,Greed,72.0
2025-02-19,2569073.548027,316450299.38,10616.13467196969,31,Fear,44.0
2025-03-01,6028.486793,771208.99,9803.075828159448,9,Extreme Fear,20.0
2025-03-02,348871.326269,22592901.37,4859.416197735714,12,Fear,26.0
2025-03-03,616413.032233,8244590.38,3500.2799614203777,14,Fear,33.0
2025-03-04,-2365.961276,8670233.15,4420.623526697368,17,Extreme Fear,15.0
2025-04-01,2553.537968,1826029.6199999999,7797.149899172507,9,Fear,34.0
2025-04-02,416876.88812,15678409.27,15703.124947818073,13,Fear,44.0
2025-04-03,182075.566585,11124247.15,2545.786879941715,16,Fear,25.0
2025-04-04,-25515.678949999998,3835545.73,4732.811766900943,14,Fear,28.0
2025-05-01,3187.719363,451943.57,7824.165539405858,8,Neutral,53.0
2025-05-02,56706.235562,8743231.51,21926.164488164224,11,Greed,67.0
2025-05-03,269328.365917,9193654.22,3657.355850823494,13,,
2025-05-04,35907.33771,1267564.22,10940.511464127778,10,,
2025-06-01,6064.185393,556526.99,7217.135723097731,7,,
2025-06-02,33803.799733,2818508.87,2869.875065266001,11,,
2025-06-03,16101.125561,6765324.96,5795.717284914474,12,,
2025-06-04,47053.449272,3551252.06,4081.8439489007637,14,,
2025-06-15,17172.518336999987,299555032.51,24176.932043556215,25,,
2025-07-01,16098.227531,1313178.1,9068.043705916796,6,,
2025-07-02,22450.002091,3460263.54,23967.33330591798,13,,
2025-07-03,150236.061627,19854275.48,4468.829034675548,14,,
2025-07-04,34527.370305,14460253.14,10523.865138202558,18,,
2025-08-01,130117.090554,3177275.18,6518.9895779990375,11,,
2025-08-02,586.703253,839734.97,17096.856943027826,10,,
2025-08-03,24700.773359,892083.51,3131.854198517958,13,,
2025-08-04,34899.394798,8869391.4,31685.96511792683,17,,
2025-09-01,46975.928902,1020733.25,6362.8980927356315,7,,
2025-09-02,150551.829492,2920919.7,1661.4545370450262,12,,
2025-09-03,19773.457395,10419697.99,806.5426083241913,12,,
2025-09-04,43120.444797,28556806.47,13917.529131650617,20,,
2025-10-01,-10116.875552,6547449.68,31588.405895721615,7,,
2025-10-02,63908.49465,3624958.44,34318.415525228345,14,,
2025-10-03,-10010.027269999999,16811790.68,2998.767983825833,14,,
2025-10-04,158261.822261,28741953.29,39246.50578036154,19,,
2025-11-01,2269.080536,1658098.71,30131.135140431095,7,,
2025-11-02,-6093.784817,2797544.17,19989.86707794811,12,,
2025-11-03,-76880.729036,14016952.09,2341.3900885374314,16,,
2025-11-04,126406.479081,11319327.07,18896.037772089418,16,,
2025-12-01,5742.241803,2258459.17,12893.280709518272,7,,
2025-12-02,19848.635032,4143974.54,20122.266069995152,12,,
2025-12-03,288105.984215,18618139.15,4000.6491172159776,13,,
2025-12-04,410419.694533,55914617.49,52901.409214082974,20,,
